name,id,boe-occ-no,date-occ-issued,purpose,first-year-qualified
"Hospice of Santa Barbara, Inc. ",727119,6241,12/11/03,Charitable ,Unavl
Hospice of the Foothills ,927610,6243,12/11/03,Charitable ,Unavl
Hospice of the North Coast ,1033390,6244,12/11/03,Charitable ,Unavl
Hospice of the Valley ,1104414,6246,12/11/03,Charitable ,Unavl
Hospice of the Valleys SC ,1131444,22863,9/26/11,Charitable ,8-Jul
"Hospice of Tulare County, Inc. ",849690,6248,12/11/03,Charitable ,Unavl
"Hospice of Ukiah, Inc. ",1685196,6249,12/11/03,Charitable ,Unavl
"Hospice Partners, Inc. ",2067568,6250,3/25/09,Charitable ,10-Sep
Hospice Services of Lake County ,986203,6251,12/11/03,Charitable ,Unavl
"Hospital Chaplaincy Services, Inc. ",582052,6252,12/11/03,Religious ,Unavl
Hospital Chaplains' Ministry of America ,259435,6253,12/11/03,Religious ,Unavl
Hospital Committee for the Livermore-Pleasanton Areas ,354585,6254,12/11/03,Charitable ,Unavl
Hospital Consortium of San Mateo County ,1225327,6255,12/11/03,Charitable ,Unavl
Hospital Hospitality House of Santa Barbara County ,1971206,15572,4/2/04,Charitable ,2-Jan
"Hotel Dieu, Inc. ",2116107,17028,2/16/05,Charitable ,4-Mar
Houchin Community Blood Bank ,252488,6261,12/11/03,Charitable ,Unavl
"House Modesto, The ",198124,1949,11/5/13,Religious ,13-14
House of Dignity ,1994068,17429,9/15/04,Charitable ,98-99
House of God in San Bruno ,1995582,18095,8/19/05,Religious ,5-Apr
House of God in San Francisco ,813803,21869,5/18/10,Religious ,10-Sep
House of Hope for Youth San Joaquin Valley ,1812342,6264,12/11/03,Charitable ,Unavl
"House of Hope Foundation, Inc. ",311975,6268,4/26/04,Charitable ,3-Feb
"House of Mercy Pro-Life, Inc. ",2421856,17870,3/8/05,Charitable ,5-Apr
House of Prayer and Word Church ,1957813,18218,8/25/05,Religious ,5-Apr
House of Rest of the Presbyterian Church in the U.S.A. ,283444,6265,12/11/03,Religious ,Unavl
"House of Ruth, Inc. ",836819,6266,12/11/03,Charitable ,Unavl
House of Yahweh ,1161078,6269,12/11/03,Charitable ,Unavl
House Rabbit Society ,1605393,14632,12/11/03,Charitable ,Unavl
House Research Institute ,208960,6262,2/24/12,Charitable ,13-Dec
"Housing & Community Synergy, Inc. ",2340192,19568,6/4/07,Charitable ,6-May
"Housing Alternatives, Inc. ",2113931,6272,12/11/03,Charitable ,Unavl
Housing and Supportive Services of Fresno ,2563812,17840,7/27/05,Charitable ,5-Apr
Housing Authority Limited Liability Company ,2.00721E+11,20113,10/2/08,Charitable ,9-Aug
Housing Authority Limited Liability Company 2 ,2.01428E+11,25620,1/6/16,Charitable ,15-16
Housing Authority Limited Liability Company 4 ,2.01504E+11,25619,1/6/16,Charitable ,16-17
Housing California ,1603561,1779,12/16/10,Charitable ,11-Oct
Housing Choices Coalition for Persons with Developmental Disibilities ,2032508,16151,12/11/03,Charitable ,Unavl
Housing Consortium of the East Bay ,2071343,20529,9/29/09,Charitable ,8-Jul
Housing Corporation of America ,1685584,6275,12/11/03,Charitable ,Unavl
Housing Development and Neighborhood Preservation ,848303,6276,12/11/03,Charitable ,Unavl
Housing Development Partners of San Diego ,1567271,10945,12/11/03,Charitable ,Unavl
"Housing for Independent People, Inc. ",973297,6277,12/11/03,Charitable ,Unavl
Housing for the Multi-Handicapped Blind ,1452348,6278,12/11/03,Charitable ,Unavl
Housing Industry Foundation ,1643023,23130,7/24/12,Charitable ,12-Nov
Housing Land Trust of Sonoma County ,2276361,17368,8/3/04,Charitable ,5-Apr
Housing On Merit ,3371314,23834,10/31/13,Charitable ,14-15
Housing Opportunities Group Inc. ,2257864,15092,12/11/03,Charitable ,Unavl
Housing Opportunities Program For The Elderly ,2054434,14600,12/11/03,Charitable ,Unavl
"Housing Opportunities, Inc. ",723346,6279,12/11/03,Charitable ,Unavl
Housing Our People Economically Community Development Corporation ,1819575,6281,12/11/03,Charitable ,Unavl
"Housing Partners I, Incorporated ",1811640,6282,12/11/03,Charitable ,Unavl
"Housing Preservation, Inc. ",3645097,24392,5/21/15,Charitable ,13-14
"Housing Rights, Inc. ",1197459,17924,6/19/07,Charitable ,5-Apr
"Housing Solutions, Inc. ",3493079,24975,2/5/15,Charitable ,13-14
"Housing Trust Fund of Santa Barbara County, Inc. ",2453379,24452,8/7/14,Charitable ,13-14
"Housing With Heart, Inc. ",2645164,19356,12/8/06,Charitable ,6-May
Housing Works ,2517121,22602,3/29/11,Charitable ,11-Oct
Howard Hughes Medical Institute ,FOREIGN ,6285,2/22/08,Scientific ,8-Jul
"Howard Martin Richardson, Post No. 5394, V.F. W. of the US ",1130433,6286,12/11/03,Charitable ,Unavl
"Howard School, The ",2228912,16296,2/13/04,Charitable ,2-Jan
Howard Street Development Corporation ,2171036,20010,10/3/07,Charitable ,7-Jun
Howard Training Center ,269956,683,5/12/15,Charitable ,13-Dec
"HPI Property Acquisitions, LLC ",2.01002E+11,22537,6/24/11,Charitable ,12-Nov
"HPI VDS, LLC ",2.01203E+11,23609,2/13/14,Charitable ,13-Dec
"Hsian Tian Da Dao Research Society, Inc. ",1186661,21220,3/30/09,Religious ,00-01
HTH Learning ,2283942,20144,2/26/08,Charitable ,5-Apr
Hua-Zang Si ,2565358,20274,7/14/08,Religious ,5-Apr
Hub Alano Club ,766349,6287,12/11/03,Charitable ,Unavl
"Hubbell Family Foundation, Inc. The ",3058925,23905,2/18/14,Charitable ,13-Dec
Hubbs-Sea World Research Institute ,453234,6289,12/11/03,Charitable ,Unavl
"Huckleberry Youth Programs, Inc. ",562456,6290,12/11/03,Charitable ,Unavl
Huc-Skirball Cultural Center ,1942317,15608,12/11/03,Charitable ,Unavl
Huda Community Center ,2594616,23078,5/9/12,Charitable ,12-Nov
"HUG Project, The ",1897425,6291,12/11/03,Charitable ,Unavl
Hugh O'Brian Youth Leadership ,2650798,20065,10/22/07,Charitable ,5-Apr
Hughson Christian School ,903559,6293,12/11/03,Religious ,Unavl
Hughson Church of Christ ,714264,6294,12/11/03,Religious ,Unavl
Hughson Samaritan Village ,2345976,15609,12/11/03,Charitable ,Unavl
"Hughson Samaritan Village Holdings, LLC ",2.01214E+11,24217,9/19/14,Charitable ,13-14
Human Biomolecular Research Institute ,FOREIGN ,6297,12/11/03,Charitable ,Unavl
"Human Interaction Research Institute, The ",424701,16319,1/14/04,Charitable ,2-Jan
"Human Investment Project, Inc. ",661541,6298,12/11/03,Charitable ,Unavl
"Human Options, Inc. ",984090,6299,12/11/03,Charitable ,Unavl
"Human Outreach Agency, Incorporated ",839785,6300,12/11/03,Charitable ,Unavl
"Human Resource Consultants, Inc. ",921798,6302,12/11/03,Charitable ,Unavl
Human Response Network ,1256209,6304,12/11/03,Charitable ,Unavl
Human Services Association ,729827,6305,12/11/03,Religious ,Unavl
Human Services Network ,1328365,6306,12/11/03,Charitable ,Unavl
"Human Services Projects, Inc. ",1821256,24240,6/13/14,Charitable ,13-14
Humane Education League ,169937,6307,12/11/03,Charitable ,Unavl
Humane Society for Inland Mendocino County ,978407,6309,12/11/03,Charitable ,Unavl
"Humane Society of Del Norte, The ",1263928,6310,12/11/03,Charitable ,Unavl
Humane Society of Imperial County ,633065,6311,12/11/03,Charitable ,Unavl
"Humane Society of Napa County & SPCA, The ",681629,6312,12/11/03,Charitable ,Unavl
"Humane Society of Pomona Valley, Inc. ",236328,6313,12/11/03,Charitable ,Unavl
Humane Society of San Bernardino Valley ,595906,6314,12/11/03,Charitable ,Unavl
"Humane Society of the Chaffney Community, The ",287951,15375,12/11/03,Charitable ,Unavl
Humane Society of the Desert Inc. ,284997,6317,12/11/03,Charitable ,Unavl
Humane Society of the North Bay ,1534273,1170,11/15/13,Charitable ,12-Nov
"Humane Society of the Sierra Foothills, A Society for the Prevention of Cruelty to Animals, Inc. ",3169425,24720,12/5/14,Charitable ,14-15
"Humane Society of Tuolumne County, Incorporated ",222846,6318,12/11/03,Charitable ,Unavl
Humane Society Silicon Valley ,135122,15991,5/10/04,Charitable ,94-95
"Humane Society Wildlife Land Trust, The ",2357421,24058,8/20/14,Charitable ,14-15
"Humanistic Alternatives to Addiction Research and Treatment, Inc. ",912028,6319,12/11/03,Charitable ,Unavl
Humanities West ,1230919,6321,12/11/03,Charitable ,Unavl
Humanity For Horses ,3349105,24434,8/12/14,Charitable ,13-14
"Humboldt Area Foundation, The ",1864632,6323,12/11/03,Charitable ,Unavl
Humboldt Arts Council ,615567,6324,12/11/03,Charitable ,Unavl
Humboldt Bay Housing Development Corporation ,1831634,6325,12/11/03,Charitable ,Unavl
Humboldt Botanical Gardens Foundation ,1814119,6327,12/11/03,Charitable ,Unavl
Humboldt County Association for Retarded Citizens ,306982,6329,12/11/03,Charitable ,Unavl
Humboldt Educare Corporation ,909106,6332,12/11/03,Charitable ,Unavl
Humboldt Family Service Center ,391573,6333,12/11/03,Charitable ,Unavl
"Humboldt Habitat for Humanity, Inc. ",1628481,6335,12/11/03,Charitable ,Unavl
Humboldt North Coast Land Trust ,894770,6338,12/11/03,Charitable ,Unavl
Humboldt Plaza Corporation ,613018,6339,12/11/03,Charitable ,Unavl
"Humboldt Recovery Center, Inc. ",681698,6340,12/11/03,Charitable ,Unavl
"Humboldt Senior Resource Center, Inc. ",719533,6341,12/11/03,Charitable ,Unavl
Humboldt Spay/Neuter Network ,2574699,25340,7/27/15,Charitable ,15-16
Humboldt Street Preschool ,3700209,25375,8/14/15,Charitable ,15-16
Humboldt Wildlife Care Center ,1012275,20577,5/9/13,Charitable ,13-Dec
Hume Lake Christian Camps ,200772,6344,12/11/03,Religious ,Unavl
"Hunger Action Los Angeles, Inc. ",2885112,21718,6/2/10,Charitable ,8-Jul
"Hunt Avenue, Inc. ",1512780,6346,12/11/03,Charitable ,Unavl
"Hunters Point Affordable Housing, Inc. ",2925477,23625,1/30/14,Charitable ,12-Nov
Huntington Beach Chinese School ,914107,6347,12/11/03,Charitable ,Unavl
Huntington Beach Community Clinic ,587865,6348,12/11/03,Charitable ,Unavl
Huntington Beach Playhouse ,452695,6349,12/11/03,Charitable ,Unavl
Huntington Lake Big Creek Historical Conservancy ,2216782,20885,6/3/09,Charitable ,8-Jul
Huntington Medical Research Institutes ,266185,6352,12/11/03,Charitable ,Unavl
"Huntington Park CHDO, Inc. ",1742507,6353,12/11/03,Charitable ,Unavl
Huntington Park First Assembly of God ,387927,24857,12/15/14,Religious ,13-Dec
"Huntington Villa Yorba Cornucopia, LLC ",2.0133E+11,24799,12/1/14,Charitable ,14-15
"Huong Tich Temple's Buddhist Congregation, The. ",1379226,25319,7/3/15,Religious ,15-16
Hurtt Family Health Clinic ,2231317,25255,10/5/15,Charitable ,13-14
Hutton Foundation ,FOREIGN ,6356,12/11/03,Charitable ,Unavl
"HWR Charitable Foundation, The ",TRUST ,22980,9/19/14,Charitable ,12-Nov
"Hyde Street Community Services, Inc. ",2408771,23554,5/20/13,Charitable ,13-Dec
Hydrocephalus Association ,1189637,6357,12/11/03,Charitable ,Unavl
"I Am ... Foundation, Inc. ",1656214,20373,2/23/09,Charitable ,9-Aug
"'I Am' School, Inc. ",2054850,1,12/11/03,Religious ,Unavl
I Care Shelter Home ,1200720,6360,12/11/03,Charitable ,Unavl
I Have A Dream Foundation ,1396326,6361,12/11/03,Charitable ,Unavl
I Love A Clean San Diego County ,546742,6362,12/11/03,Charitable ,Unavl
I SOT ,560667,6363,12/11/03,Charitable ,Unavl
I2 Ministries Inc. ,2815704,20540,9/2/08,Religious ,7-Jun
"I-5 Social Services Corporation, Inc. ",1936042,15861,12/11/03,Charitable ,Unavl
"IAHI-Grande, LLC ",2.01116E+11,23651,6/10/14,Charitable ,13-Dec
"IAHI-Griffin, LLC ",2.01124E+11,23637,7/1/14,Charitable ,13-Dec
"IAS Administrations, Inc. ",3088075,21864,1/19/11,Religious ,11-Oct
Ibrahim Khalilullah Islamic Center ,1968057,19850,2/9/09,Religious ,6-May
ICEC ,1201627,6650,5/7/12,Charitable ,13-Dec
ICF Center for Cross-Border Philanthropy ,3060109,20931,3/6/09,Charitable ,9-Aug
"ICLEI - Local Goverments for Sustainability U.S.A., Inc. ",2034220,17480,12/22/08,Charitable ,8-Jul
"Icthus International, Inc. ",1277658,19520,2/8/07,Religious ,7-Jun
"Icy, San Diego ",2292373,20650,1/7/09,Charitable ,4-Mar
Idaho Apartments Housing Corporation ,1992520,6368,12/11/03,Charitable ,Unavl
Idris Ackamoor and Cultural Odyssey ,1080488,17517,9/30/04,Charitable ,5-Apr
"Idyllwild Area Historical Society, Inc., The ",2332448,16006,12/11/03,Charitable ,Unavl
Idyllwild Arts Foundation ,209644,6369,12/11/03,Charitable ,Unavl
Idyllwild Help Center ,1838250,20755,10/31/08,Charitable ,9-Aug
Idyllwild Pines Camp and Conference Center ,106512,6371,12/11/03,Religious ,Unavl
Iglesia Bautista Fundamental Buenas Nuevas ,1505042,15225,12/11/03,Religious ,Unavl
"Iglesia Bautista Fundamental Of Escondido, California ",2503693,20148,12/17/07,Religious ,8-Jul
Iglesia Bautista Hispana Of The Valley ,1687174,20380,4/1/08,Religious ,7-Jun
Iglesia Bautista Jehovah-Yireh ,2009531,15340,12/11/03,Religious ,Unavl
Iglesia Bautista Josue ,2010556,17848,3/22/05,Religious ,5-Apr
Iglesia Bautista La Familia ,3106763,24427,6/17/14,Religious ,13-14
Iglesia Bautista La Puerta Abierta ,2212711,6374,12/11/03,Religious ,Unavl
Iglesia Bautista White Road Incorporated ,1184340,16015,12/11/03,Religious ,Unavl
Iglesia Calvario De Las Asambleas De Dios ,2500080,6377,5/26/05,Religious ,5-Apr
Iglesia Cristiana Firmes EN LA FE ,3588622,24964,6/9/15,Religious ,14-15
Iglesia Cristiana Koinonia ,1822802,20838,10/15/08,Religious ,9-Aug
Iglesia Cristiana Misionera Supremo Llamamiento ,2763165,24903,1/12/15,Religious ,14-15
Iglesia Cristiana Rayo De Luz ,2250801,20094,1/18/08,Religious ,7-Jun
Iglesia de Cristo Camino de Santidad ,2604027,19709,3/6/07,Religious ,6-May
Iglesia de los Hermanos 'Principe de Paz' ,2010354,18097,5/24/05,Religious ,6-May
Iglesia Del Cuerpo De Cristo ,1139963,16033,12/11/03,Religious ,Unavl
"Iglesia Del Dios Vivo Columna Y Apoyo De La Verdad La Luz Del Mundo Fresno, CA ",1689616,17964,7/14/05,Religious ,00-01
Iglesia Del Mar ,ASSOCIATION ,6382,12/11/03,Religious ,Unavl
"Iglesia del Nazareno Discovery, Livermore, CA ",3312595,22513,1/8/13,Religious ,12-Nov
Iglesia del Nazareno Fuente de Vida ,3488287,25837,2/2/16,Religious ,16-17
"Iglesia Del Pacto Evangelico De Rolling Hills, Inc. ",1933658,20846,10/29/08,Religious ,9-Aug
Iglesia Evangelica Bautista Luz y Verdad ,2690290,19042,9/1/06,Religious ,6-May
"Iglesia Evangelica De Putente, California ",318733,17080,8/3/04,Religious ,4-Mar
"Iglesia Evangelica Sol De Justicia, Inc. ",1715835,6385,12/11/03,Religious ,Unavl
Iglesia Israelita Casa De Dios ,3071034,22994,12/5/11,Religious ,11-Oct
Iglesia Luterana Fe Y Esperanza in South Gate ,408033,4442,5/16/08,Religious ,5-Apr
Iglesia Metodista Libre Corona Del Rey ,572172,20928,11/12/08,Religious ,8-Jul
Iglesia Misionera Hispanoamericana ,1862731,22591,6/14/12,Religious ,7-Jun
Iglesia Ni Cristo (Church of Christ) ,839565,6389,12/11/03,Religious ,Unavl
Iglesia Obra De Orange ,2011107,21479,8/5/10,Religious ,7-Jun
Iglesia Presbiteriana Betel of South Gate/Presbyterian Church (U.S.A.) ,1594267,17502,9/27/04,Religious ,5-Apr
"Iglesia Rios De Vida, Inc. ",2708636,22752,2/13/12,Religious ,6-May
"Iglesia's Bautista La Esparaza-Bilingual, Inc. ",2363631,15508,12/11/03,Religious ,Unavl
"Ignatian Corporation, The ",271444,6390,12/11/03,Religious ,Unavl
Igreja Brasileira Christa Em San Diego ,3063282,21826,5/6/10,Religious ,9-Aug
"IH Alhambra Davis, LLC ",2.01429E+11,25155,10/19/15,Charitable ,15-16
IHC Management Corporation ,1294196,6391,12/11/03,Charitable ,Unavl
IHO Harding Street LLC ,2.01223E+11,24148,9/19/14,Charitable ,13-14
IHO Norwalk LLC ,2.01201E+11,24137,4/15/14,Charitable ,13-14
IHR Educational Broadcasting ,2106913,6392,12/11/03,Charitable ,Unavl
Ikar ,2655623,22694,8/19/11,Religious ,10-Sep
I-Kuan Tao Foundation of America ,1896461,6365,12/11/03,Religious ,Unavl
IL Shim Senior Association ,2251133,20845,11/26/08,Charitable ,9-Aug
"Ilan-Lael, Inc ",1131068,24592,7/6/15,Charitable ,13-Dec
"IL-KWAN-DO YOON-GOOK BUB-DAN (USA), INC. ",3308595,22967,11/10/11,Religious ,12-Nov
"Illumination Foundation, The ",3063690,23471,4/22/13,Charitable ,13-Dec
"ILS Transition, Inc., c/o RHF ",1676770,6394,12/11/03,Charitable ,Unavl
Image for Success ,2163436,18429,2/17/10,Charitable ,8-Jul
Imaginarium: Institute of Fine Arts ,2980106,20912,11/26/08,Charitable ,9-Aug
Imagine Supported Living Services ,2278564,25370,7/24/15,Charitable ,13-14
"Imam of the Islamic Society of California, Inc. ",752739,6395,12/11/03,Religious ,Unavl
Imani Community Church Inc. ,2002754,14736,12/11/03,Charitable ,Unavl
"iMissions, Inc. ",2446697,18602,3/23/06,Religious ,6-May
Immaculate Conception Academy ,269657,6397,12/11/03,Religious ,Unavl
Immaculate Heart Community ,18162,6398,12/11/03,Religious ,Unavl
Immaculate Heart High School ,270013,6399,12/11/03,Religious ,Unavl
Immaculate Heart of Mary Church ,ASSOCIATION ,23673,2/5/13,Religious ,13-14
Immanuel Baptist Church ,1243632,6400,12/11/03,Religious ,Unavl
Immanuel Baptist Church of Antioch ,216094,18362,12/15/05,Religious ,6-May
Immanuel Baptist Church of Compton ,217248,6401,12/11/03,Religious ,Unavl
Immanuel Christian Assembly ,207322,6403,12/11/03,Religious ,Unavl
"Immanuel Church, LLC ",2.0143E+11,25094,5/13/15,Charitable ,15-16
Immanuel Evangelical Lutheran Church of San Jose ,192174,6404,12/11/03,Religious ,Unavl
Immanuel First Lutheran Church of West Covina ,294182,24625,10/8/14,Religious ,14-15
"Immanuel Housing, Inc. ",1915129,19829,7/14/09,Charitable ,3-Feb
"Immanuel Housing, LLC ",2.01008E+11,22860,12/3/13,Charitable ,12-Nov
Immanuel Lutheran Church ,301424,6407,12/11/03,Religious ,Unavl
Immanuel Lutheran Church of Los Altos ,293194,6408,12/11/03,Religious ,Unavl
"Immanuel Lutheran Church of Saratoga, California ",486863,18064,4/25/05,Religious ,6-May
Immanuel Mission Foundation ,1498700,17629,12/23/04,Religious ,3-Feb
Immanuel Presbyterian Church ,18139,17084,7/14/05,Religious ,5-Apr
Immanuel Schools ,194933,6406,3/14/06,Religious ,6-May
Immanuel United Methodist Church of Los Angeles ,574373,12278,4/12/10,Religious ,11-Oct
Immigrant Legal Resource Center ,1238548,6409,12/11/03,Charitable ,Unavl
"Immigrant Resettlement and Cultural Center, Inc. ",999058,15042,12/11/03,Charitable ,Unavl
Immigration Center for Women and Children ,2602455,22317,1/31/11,Charitable ,11-Oct
Immigration Services of Santa Rosa ,1398065,6410,12/11/03,Charitable ,Unavl
Immune Enhancement Project ,1524474,6411,12/11/03,Charitable ,Unavl
Impact Community Church ,2327280,15291,12/11/03,Religious ,Unavl
"Impact Fund, The ",1524348,17107,6/28/04,Charitable ,4-Mar
"Impact Online, Inc. ",1896676,23497,9/17/13,Charitable ,10-Sep
Impact Television Network ,2644107,20764,1/13/09,Religious ,9-Aug
"Imperial Alano Club, Inc. ",677193,6414,12/11/03,Charitable ,Unavl
Imperial Beach Community Clinic ,635857,6415,12/11/03,Charitable ,Unavl
Imperial Beach United Methodist Church ,226291,18112,3/21/06,Religious ,00-01
"Imperial County Work Training Center, Inc ",806520,17020,5/5/04,Charitable ,3-Feb
Imperial Valley Blind Center ,686766,6420,12/11/03,Charitable ,Unavl
Imperial Valley Center of Religious Science ,539943,6421,12/11/03,Religious ,Unavl
"Imperial Valley Gateway Center, LLC ",2.01305E+11,24362,9/18/15,Charitable ,14-15
Imperial Valley's New Creations ,1911400,6422,12/11/03,Religious ,Unavl
"IMPORTA, Santa Barbara ",3386476,24721,12/1/14,Charitable ,13-Dec
In Defense of Animals ,1177495,6424,12/11/03,Charitable ,Unavl
In His Steps Christian Recovery Home ,3391025,6426,12/11/03,Charitable ,Unavl
In Support of Incest Survivors (I.S.I.S.) ,3520105,24100,,Charitable,
In The Vine Anglican Church ,3469069,24666,11/3/14,Religious ,14-15
"Incarnation Monastery, Inc. ",2570647,24088,4/18/14,Religious ,13-Dec
"Incarnation Priory, Berkeley ",1124673,6428,12/11/03,Religious ,Unavl
InChrist Community Church Valley Chapel ,1419295,13333,3/10/14,Religious ,14-15
"Inclusive Communities East Bay, LLC ",2.00611E+11,20718,11/19/10,Charitable ,8-Jul
Incredible Children's Art Network ,TRUST ,23530,9/12/13,Charitable ,13-Dec
"Independence Christian School, Inc. ",750660,6429,12/11/03,Religious ,Unavl
Independence Community Treatment Clinic ,2380998,15978,12/11/03,Charitable ,Unavl
"Independence Square Housing Corporation, Inc. ",834010,6430,12/11/03,Charitable ,Unavl
Independent Adoption Center ,1126599,6431,2/4/04,Charitable ,99-00
"Independent Institute, The ",1591231,6434,12/11/03,Charitable ,Unavl
Independent Living Center of Kern County ,1689445,6435,12/11/03,Charitable ,Unavl
Independent Living Center of Southern California ,823280,6436,12/11/03,Charitable ,Unavl
Independent Living Partnership ,1495110,20219,12/22/08,Charitable ,9-Aug
"Independent Living Resource Center, Inc., The ",827915,6437,12/11/03,Charitable ,Unavl
Independent Living Resource Center--San Francisco ,922267,18186,12/6/05,Charitable ,5-Apr
Independent Living Resource of Contra Costa County ,1242738,6438,12/11/03,Charitable ,Unavl
"Independent Living Services of Northern California, Inc. ",1004841,6439,12/11/03,Charitable ,Unavl
Independent School Alliance for Minority Affairs ,1334476,6440,12/11/03,Charitable ,Unavl
"India Community Center, Inc. ",FOREIGN ,17603,10/3/07,Charitable ,6-May
India Evangelical Mission ,ASSOCIATION ,16445,4/9/04,Religious ,3-Feb
India Gospel Outreach ,1538705,6441,12/11/03,Religious ,Unavl
"Indian Action Council of North-Western California, Inc. ",623885,6442,12/11/03,Charitable ,Unavl
Indian Elders Council ,1104901,6444,12/11/03,Charitable ,Unavl
Indian Health Center of Santa Clara Valley ,810980,6445,12/11/03,Charitable ,Unavl
"Indian Health Council, Inc. ",590389,6446,12/11/03,Charitable ,Unavl
"Indian Human Resources Center, Inc. ",930260,6448,12/11/03,Charitable ,Unavl
Indian Valley Parent Teacher Organization ,1603803,6450,5/26/05,Charitable ,5-Apr
"Indian Valley Post 568, the American Legion Department of California ",249807,6451,12/11/03,Charitable ,Unavl
Indio Housing Development Corporation ,1075143,6452,12/11/03,Charitable ,Unavl
"Indio Performing Arts Center, Inc. ",2853969,23475,3/18/13,Charitable ,9-Aug
Individuals Now ,595065,6453,12/11/03,Charitable ,Unavl
"INDO-Chinese Association of San Diego, Inc. ",1202631,20897,8/10/09,Religious ,9-Aug
Indochinese Housing Development Corporation ,1089113,6454,12/11/03,Charitable ,Unavl
Indonesian Good News Church of Los Angeles ,2842965,24488,8/12/14,Religious ,13-14
"Industries for the Blind, Inc. ",FOREIGN ,14746,12/11/03,Charitable ,Unavl
Industry Convalescent Hospital ,784516,6457,12/11/03,Charitable ,Unavl
Infact dba Corporate Accountability International ,1678125,24429,7/3/15,Charitable ,14-15
Infant Development Center of San Francisco ,848554,6460,12/11/03,Charitable ,Unavl
Infant of Prague Adoption Service ,275228,6461,12/11/03,Charitable ,Unavl
Infant/Child Enrichment Services Inc ,1147309,19011,4/27/06,Charitable ,7-Jun
Info Line Of San Diego County ,2470382,20739,10/31/08,Charitable ,8-Jul
"Information and Referral Federation of Los Angeles County, The ",980760,15479,12/11/03,Charitable ,Unavl
"Ingleside Congregation of Jehovah's Witnesses, San Francisco, CA, Inc. ",2568861,23664,6/11/13,Religious ,12-Nov
Ingleside Presbyterian Church ,456389,6464,12/11/03,Religious ,Unavl
Inglewood Southside Christian Church ,311380,17674,8/9/06,Religious ,5-Apr
"In-Home Supportive Services Consortium Of San Francisco, Inc. ",1289953,20119,12/26/07,Charitable ,8-Jul
"Ink People, The ",922074,6468,12/11/03,Charitable ,Unavl
"Inland Behavioral and Health Services, Inc. ",863380,19967,2/4/08,Charitable ,8-Jul
Inland Caregiver Resource Center ,1685035,6471,12/11/03,Charitable ,Unavl
"Inland Christian Home, Inc. ",672978,6472,12/11/03,Charitable ,Unavl
Inland Counties Health Systems Agency ,563738,6474,12/11/03,Charitable ,Unavl
Inland Counties Legal Services ,357658,6475,12/11/03,Charitable ,Unavl
Inland Counties Regional Center Inc. ,630900,6476,12/11/03,Charitable ,Unavl
Inland Empire Affordable Housing Corp. ,3801003,25642,2/5/16,Charitable ,16-17
"Inland Empire Central Office of Alcoholics Anonymous, Inc. ",970499,6478,12/11/03,Charitable ,Unavl
"Inland Empire Latino Lawyers Association, Inc. ",1273947,23895,12/16/13,Charitable ,14-15
"Inland Empire Lighthouse for the Blind, Inc. ",254987,10867,8/10/11,Charitable ,7-Jun
"Inland Empire Rescue Mission, Inc. ",3194472,22596,6/1/11,Charitable ,11-Oct
Inland Empire Residential Centers ,1376989,6479,12/11/03,Charitable ,Unavl
Inland Empire Southern Baptist Association of California ,454760,6480,12/11/03,Religious ,Unavl
Inland Empire United Way ,1702313,8526,5/16/05,Charitable ,6-May
"Inland Hospice Association, Inc. ",915937,6481,12/11/03,Charitable ,Unavl
Inland Mediation Board ,1576426,15093,12/11/03,Charitable ,Unavl
Inland Preschool ,3121707,22729,6/20/11,Charitable ,12-Nov
Inland Temporary Homes ,1613049,21277,4/16/09,Charitable ,9-Aug
Inland Valley Council of Churches ,616691,9953,8/16/06,Charitable ,7-Jun
Inland Valley Drug and Alcohol Recovery Services ,437109,19244,11/1/06,Charitable ,7-Jun
"Inner Circle Foster Family Agency, Inc. ",1680334,6484,12/11/03,Charitable ,Unavl
Inner City Action Incorporated ,3613582,25256,6/11/15,Religious ,14-15
Inner City Arts ,1649108,6485,12/11/03,Charitable ,Unavl
Inner City Christian Academy ,1280880,6486,12/11/03,Religious ,Unavl
Inner City Education Foundation ,1943014,15721,12/11/03,Charitable ,Unavl
Inner City Law Center ,1062157,6488,12/11/03,Charitable ,Unavl
Inner Vision Ministry Inc. ,FOREIGN ,14583,12/11/03,Charitable ,Unavl
"Innerfocus, Inc. ",2337762,19819,3/30/09,Charitable ,3-Feb
Innovate Public Schools ,3536671,25187,6/4/15,Charitable ,14-15
"Innovations Housing, Inc. ",1913167,17867,3/26/15,Charitable ,9-Aug
Innovative Development and Living Solutions of California ,3634417,25141,4/15/15,Charitable ,15-16
Innovative Health Care Services ,1234290,6493,12/11/03,Charitable ,Unavl
"Innovative Housing Opportunities, Inc. ",783927,6655,4/15/14,Charitable ,14-15
InnVision Shelter Network ,1197478,11610,10/30/13,Charitable ,13-14
"Inroads/Northern California, Inc. ",1603985,6497,12/11/03,Charitable ,Unavl
Insight Environment ,3696363,24962,2/5/15,Charitable ,15-16
Insight for Living ,932832,6500,12/11/03,Religious ,Unavl
Insight LA Inc. ,2893317,24070,4/18/14,Religious ,13-Dec
Insight Meditation Center of the Mid-Peninsula ,2001907,22709,10/20/11,Religious ,12-Nov
Insight Prison Project ,2251022,20544,8/26/08,Charitable ,8-Jul
Insight Vision Center ,2044523,17115,6/28/04,Charitable ,3-Feb
Insights Counseling Group ,2626851,24734,6/17/15,Charitable ,16-17
